"donor_id","decision","type","source_path","source_sha256","description","why_v2_fit","v2_destination","copy_or_reimplement","domain_coupling","runtime_dependency","licence_provenance","approval_status","implementation_status"
"INV-001","reference only","UI polished screens","src/App.jsx; src/styles.css; design-system/audit-screenshots/*; design-system/full-screen-audit/*; screenshots/*","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 has mobile, desktop, records, accounts, calendar, personal, style, review, and empty-state evidence, but the app is one large React/CSS surface.","Useful for visual/workflow review only; V2 must not inherit the monolithic dashboard, routes, or CSS composition.","Future design reviews and screenshot comparison only.","reimplement if used","High: UI, local persistence, business/personal state, imports, and calculations are mixed.","no","Internal Folio V1 source frozen in manifest.","not approved for runtime reuse","inventoried"
"INV-002","reuse unchanged","mascot and brand assets","public/assets/brand/melo/icons/*.png; public/icon.svg; public/icon.ico; public/icon-preview.png; public/site.webmanifest; handoff/melo-logo-agent-pack/current-assets/*","multiple; see docs/v1-donor-audit/freeze-manifest.csv","Melo/Folio icon pack includes raster sizes, SVG/ICO/web manifest assets, and a replacement map.","Standalone visual assets may fit V2 if source/licence, small-size contrast, and platform icon review pass.","Future apps/mobile assets or packages/ui asset package after asset pipeline exists.","copy only after approval","Low for image/icon files; no finance/domain coupling in standalone assets.","no","Internal Folio/Melo brand assets; referenced Figma source not verified in this audit.","pending formal asset approval","not implemented"
"INV-003","adapt deliberately","mascot poses and animation concepts","public/assets/brand/melo/poses/melo-folio-hero-pose.png; design-system/pip-weasel-character-sheet.png; design-system/pip-historical-reptile-character-sheet.png; src/App.jsx FolioMark/FolioRoamer; src/styles.css .folio-*","multiple; see docs/v1-donor-audit/freeze-manifest.csv","Standalone hero pose plus inline assistant mark, panel roamer, mood states, and motion styling.","Melo can give V2 warmth, but state, motion, focus, and reduced-motion behavior must follow V2 contracts.","Future Melo UI state and animation package.","reimplement","Medium-high: current movement is tied to V1 panels, wording, routes, and CSS hooks.","no","Internal/generated brand material; Figma source referenced but not verified.","pending formal asset and UX approval","not implemented"
"INV-004","adapt deliberately","validated visual tokens","design-system/close-ledger.tokens.json; src/styles.css variables and theme selectors","multiple; see docs/v1-donor-audit/freeze-manifest.csv","Token extraction includes light/night/marine/orchard/contrast themes, density, spacing, radius, type, mascot anchors, and breakpoints.","Useful as audit input, but V2 tokens are re-derived in packages/ui with 48dp, status, motion, and money contracts.","packages/ui token review only.","reimplement","Medium: token names and anchors include V1 records, workspace, and mascot concepts.","no","Internal token extraction from V1 CSS.","pending","partly reimplemented as V2 token sandbox without copying"
"INV-005","adapt deliberately","calendar and planner interaction ideas","src/App.jsx:6710,6742,7022,7068-7277,7277,7922,7982,8138,8185; scripts/check-calendar-planner-logic.mjs; design-system/exhaustive-workflow-audit/fixtures/close-ledger-test-calendar.ics","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 covers generated items, recurrence, project/document/contact/reminder projections, ICS metadata, and Google metadata round trip.","Can inform V2 edge cases once calendar-engine and planner contracts exist.","Future packages/calendar-engine and planner adapter tests.","reimplement","High: functions depend on V1 local store shape, UI scope names, and planner schema.","no","Internal V1 source and synthetic fixture evidence.","pending","not implemented"
"INV-006","reject","calendar external sync","src/App.jsx:8048-8188; GOOGLE_CALENDAR_SCOPE; Google Calendar setup UI","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 directly requests a Google OAuth token in the browser and calls Google Calendar APIs from the UI session.","Conflicts with V2 local-first native baseline and reviewed token-storage requirements.","No V2 runtime destination.","reject","High: UI, OAuth token, Google API, and local calendar persistence are coupled.","no","Google provider terms and security review would be required if reintroduced.","rejected for runtime reuse","rejected"
"INV-007","adapt deliberately","finance logic","src/App.jsx:9971,10290,11107,11236; scripts/check-finance-logic.mjs","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 has row-to-transaction conversion, summaries, draft tax set-aside, debt-plan rows, transfer detection, category learning, PDF text extraction, and source-contract tests.","Useful as behavior evidence only; V2 must use pure engines, integer minor units, provenance, and advice-safe wording.","Future packages/finance-engine, import-engine, plan-engine, and policy-packs tests.","reimplement","Very high: logic is in App.jsx, uses floating-point amounts and V1 categories/workspaces.","no","Internal V1 source; tax/business assumptions require separate source/legal review.","pending; runtime source not approved","not implemented"
"INV-008","reference only","business tax and filing evidence concepts","src/App.jsx business summary/export functions; scripts/check-finance-logic.mjs; release/Folio-0.5.2-test-notes.md","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 exposes draft accounts, export pack contents, reviewer handoff, micro-entity checks, and filing evidence support.","Only the evidence/provenance concept fits V2 until policy packs and legal gates exist.","Future business/tax programme after personal core and legal gates.","reimplement if used","High: combines business records, tax estimates, UI confidence, and exports.","no","Internal V1 source; tax assumptions need jurisdiction/effective-date policy sources.","not approved","not implemented"
"INV-009","reject","schemas and persistence","src/App.jsx:45-55,8422-8485,8807-9533; STORAGE_KEY close-ledger-local-v2; CURRENT_STORE_SCHEMA 5; localStorage persistence","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 persists JSON in browser localStorage, migrates store shape in App.jsx, and preserves corrupt data to another localStorage key.","Conflicts with V2 encrypted local SQLite, typed repositories, audit log, and workspace isolation requirements.","No V2 runtime destination.","reject","Very high: persistence, UI, migration, planner, transactions, debts, settings, and capture store are coupled.","no","Internal V1 source.","rejected","rejected"
"INV-010","adapt deliberately","import/export format samples","design-system/exhaustive-workflow-audit/fixtures/*.csv; design-system/exhaustive-workflow-audit/downloads/*; scripts/check-transfer-copy-parser.mjs; src/App.jsx import/export helpers","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 includes CSV/ICS/text/PDF-like fixtures, export downloads, transfer-copy parser cases, and import preview behavior.","May inform V2 synthetic import vectors after data-safety review.","Future docs/source-package vectors or packages/import-engine tests after review.","reimplement","Medium-high: parser/export behavior depends on App.jsx helpers and local store shape.","no","Internal audit fixtures; must verify no real financial data before reuse.","pending fixture review","not implemented"
"INV-011","adapt deliberately","test and proof scripts","scripts/check-finance-logic.mjs; scripts/check-calendar-planner-logic.mjs; scripts/check-admin-planner-logic.mjs; scripts/check-proof-ledger-logic.mjs; scripts/check-product-confidence.mjs; scripts/check-transfer-copy-parser.mjs; scripts/check-ux-contract.ps1","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 proof scripts extract functions and strings from App.jsx/styles.css. Finance, calendar, planner, proof-ledger, product, and transfer checks passed in the snapshot.","Good regression clues, but V2 tests must be typed unit, property, integration, and E2E tests.","Future V2 test vectors and acceptance tests.","reimplement","High: scripts depend on monolithic V1 source layout and string checks.","no","Internal V1 test code.","pending","not implemented"
"INV-012","reference only","dependencies","package.json; package-lock.json; public/ocr/*; models/*; electron/main.cjs","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 stack includes React/Vite/Electron, lucide, CSV/PDF/OCR libraries, OCR wasm assets, and a local model file.","Useful as dependency audit input only; V2 native-compatible choices must be selected per feature spike.","Future dependency/licence review only.","reimplement if used","High if copied; several dependencies are web/desktop-specific and conflict with V2 native-first architecture.","no","Third-party packages require normal licence/security review; V1 lockfile is not approved.","not approved","not implemented"
"INV-013","reject","documents, OCR, and voice assets","public/ocr/worker.min.js; public/ocr/core/*; public/ocr/lang/eng.traineddata.gz; tesseract.js dependency; CAPTURE_SERVICE_URL local transcribe endpoint","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 bundles web Tesseract workers/wasm/lang data and references a local transcription capture service.","Conflicts with V2 native OCR/voice spikes, permission handling, and local processing guarantees.","No V2 runtime destination.","reject","High: web OCR assets and capture service assumptions do not match native architecture.","no","Tesseract and trained data require licence review if ever used.","rejected for runtime reuse","rejected"
"INV-014","reference only","release artifacts","release/Folio-0.5.2-android-installable.apk; release/Folio-0.5.2-play-release.aab; release/Folio-0.5.2-portable.exe; release/Folio-0.5.2-ready-pack.zip; release/*.md","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 release binaries and release notes are preserved in the snapshot for deployment evidence.","Useful only to identify the frozen donor version/deployment state.","No V2 runtime destination.","do not copy","Low for documentation use; high if treated as runtime input.","no","Internal release artifacts; bundled notices not audited here.","not approved for reuse","not implemented"
"INV-015","reject","navigation and information architecture","src/App.jsx modes, businessSections, personalSections, welcome flow, workspace command center; src/styles.css workspace/personal/accounts grids","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 splits Business/Personal with Records, Accounts, Calendar, Style and Money/Proof/Calendar/Style tabs.","Conflicts with V2 Today-first IA and schema/repository-level workspace separation.","No V2 runtime destination.","reject","Very high: IA embeds V1 dashboard assumptions and business-first flows.","no","Internal V1 source.","rejected","rejected"
"INV-016","adapt deliberately","copy and personality fragments","src/App.jsx:11309-11413 Folio guide responses; design-system and handoff copy docs","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 has plain guidance copy for imports, review, tax, spending, transfers, debts, and assistant context.","Tone patterns may help only after advice-language review and V2 Melo contract work.","Future Melo deterministic templates and advice-language test corpus.","reimplement","Medium-high: copy references V1 records, filing, business mode, and debt suggestions.","no","Internal Folio V1 copy.","pending copy review","not implemented"
"INV-017","reference only","workflow and performance audit evidence","design-system/human-workflow-audit/*; design-system/exhaustive-workflow-audit/*; design-system/performance-audit/*; artifacts/theme-audit.json","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 includes workflow/performance audit reports, screenshots, videos, downloads, and theme audits.","Useful for proof habits and regression inspiration, not runtime material.","Future release-evidence methodology and test planning.","do not copy","Medium: evidence encodes V1 flows and data shape.","no","Internal audit artifacts; fixtures need synthetic-data review before reuse.","not approved for runtime reuse","not implemented"
"INV-018","reject","electron and desktop packaging","electron/main.cjs; package.json build config; scripts/patch-electron-builder-rename.ps1; scripts/build-ready-pack.ps1","multiple; see docs/v1-donor-audit/freeze-manifest.csv","V1 includes Electron portable Windows packaging and release pack scripts.","Conflicts with V2 Expo development-build/mobile-first Phase 0 foundation.","No V2 runtime destination.","reject","High: packaging assumes dist/electron/models/release output and Windows portable target.","no","Third-party Electron/electron-builder licences require review if ever used.","rejected","rejected"
