id,phase,stream,title,description,depends_on,priority,acceptance,v1_donor_allowed,release_blocking
T001,0,governance,Create greenfield repository,Create a new V2 repository and prohibit V1 runtime dependencies.,,P0,CI proves repository builds without V1.,no,yes
T002,0,governance,Install workspace/tooling baseline,"pnpm workspaces, TypeScript strict, lint, format, test and task runner.",T001,P0,Clean install and all baseline jobs pass.,no,yes
T003,0,governance,Create architecture decision process,"Add ADR template, owner and change/review rules.",T001,P1,Every foundational choice has an ADR.,no,yes
T004,0,governance,Create synthetic data policy,"Ban real financial data from source, tests and screenshots.",T001,P0,CI secret/sample scan and policy documented.,no,yes
T005,0,governance,Create source and licence register,Track V1 assets and third-party dependencies/licences.,T001,P1,Every copied asset/dependency has provenance.,yes,yes
T006,0,governance,Implement dependency-boundary lint,Prevent UI/adapters from leaking into pure domain packages.,T002,P1,Illegal imports fail CI.,no,yes
T007,0,governance,Create release compatibility matrix,Track Expo/RN/native/database/OTA versions.,T002,P1,Matrix is checked during build and release.,no,yes
T008,0,governance,Create product constitution gate,Make constitutional violations part of PR template.,T003,P1,PRs require explicit compliance check.,no,yes
T009,0,v1-audit,Freeze V1 reference,Record V1 commit/deployment and make read-only snapshot.,T001,P1,Donor source can be audited without changing it.,yes,no
T010,0,v1-audit,Inventory V1 assets,"List UI, mascot, calendar, finance logic, schemas and dependencies.",T009,P1,Every item classified reuse/adapt/reference/reject.,yes,no
T011,0,design,Establish V2 design-token sandbox,Create mobile token primitives without copying V1 layout.,T001,P1,Accessible tokens render on iOS/Android.,yes,yes
T012,0,quality,Wire CI device build smoke tests,Build development binaries for both platforms.,T002,P0,Signed/non-store dev builds install and launch.,no,yes
T013,1,database,Spike OP-SQLite SQLCipher,Open encrypted DB with runtime key on iOS/Android.,T012,P0,Cipher verification and wrong-key failure proven.,no,yes
T014,1,database,Spike FTS5 and WAL,"Prove FTS5, WAL/checkpoint and 100k-row query behavior.",T013,P0,Performance report meets budgets.,no,yes
T015,1,database,Spike Expo updates compatibility,Detect duplicate SQLite/native binary issues and define OTA policy.,T013,P0,Release build and update compatibility documented.,no,yes
T016,1,crypto,Spike native key wrapping,Create Keychain/Keystore wrapper module and biometric unlock.,T012,P0,Key is non-plain and survives normal relaunch.,no,yes
T017,1,crypto,Spike recovery wrapping,Argon2id recovery secret wraps/unwraps test vault key.,T016,P0,Recovery vector and parameter benchmark pass.,no,yes
T018,1,documents,Spike encrypted document files,Encrypt/decrypt/copy large documents outside SQLite.,T016,P1,No plaintext residue in app storage test.,no,yes
T019,1,ocr,Spike on-device OCR,Verify iOS Vision and Android ML Kit capability/fallback.,T012,P1,Receipt/statement fixtures return bounded candidates.,no,yes
